name,screen_name
Ileana Ros-Lehtinen,RosLehtinen
Rep. Keith Ellison,keithellison
Congressman Tim Ryan,RepTimRyan
JohnCornyn,JohnCornyn
Ways and Means,WaysandMeansGOP
Steve Daines,SteveDaines
ChuckGrassley,ChuckGrassley
Mark Warner,MarkWarner
Al Franken,alfranken
Jim Inhofe,JimInhofe
Tom Price,RepTomPrice
Senator John Boozman,JohnBoozman
